ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
88,BROADWAY AVE ,K1S2V6,Ward 17,94044,27-28,LAGOIS DRAFTING AND CONSTRUCTION,Single,Old Ottawa,Interior alterations on the 1st floor of a 2 storey detached dwelling (remove non-loadbearing wall for kitchen renovation and create new window in living room),0,25000,377,2200018,Construction,2022-01-04 15:20
5507,OLD MILL WAY ,K4M1C1,Ward 20,4M-449,19,KEMPTVILLE POOL & SPA,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0,0,0,2200019,Pool Enclosure,2022-01-04 15:20
306,DAWNLIGHT ST ,K4A5G3,Ward 19,4M-1279,81,CONTRACTOR UNKNOWN,Single,Cumberland,Finish the basement in a 2 storey detached dwelling,0,81322.5,1750,2200020,Construction,2022-01-04 15:51
1854,ELMRIDGE DR ,K1J6R7,Ward 11,807,18,IRON PLUMBING AND HEATING,Semi - Detached,Gloucester,PLUMBING ONLY: Install an open port back water value on the sanitary sewer in a semi-detached dwelling,0,3500,21.52,2200022,Construction,2022-01-05 9:14
6952,VIOLA ST ,K0A2T0,Ward 21,4M-897,11,LOCKWOOD BROTHERS CONSTRUCTION,Single,Rideau,Construct a 1 storey addition to a 1 storey detached dwelling,0,78150.05,500,2200023,Construction,2022-01-05 9:18
2650  -101,SOUTHVALE CRES ,K1B4S9,Ward 18,4M-,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,PLUMBING ONLY: Install a Premise Isolation Backflow Prevention Device on the domestic cold water supply in a 10 storey apartment building,0,0,0,2200024,Construction,2022-01-05 9:32
191,LAURIER AVE W,K1P5M2,Ward 14,3922,49,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Interior Alterations to the 5th floor of a 19 storey office building  (Interior Partitions, modification to mechanical, electrical, plumbing)",0,1009149,12605,2200025,Construction,2022-01-05 9:40
2630  -101,SOUTHVALE CRES ,K1B4S8,Ward 18,4M-,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,PLUMBING ONLY: Install a Premise Isolation Backflow Prevention Device on the domestic cold water supply in a 10 storey apartment building,0,0,0,2200026,Construction,2022-01-05 9:46
958,NORMANDY CRES ,K2C0K9,Ward 16,4M-,46,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to remove loadbearing and non-loadbearing walls for kitchen renovations on the 1st floor of a 2 storey detached dwelling,0,45000,768,2200027,Construction,2022-01-05 9:57
419,HEPATICA WAY ,K4A1G3,Ward 19,4M1592,85,GUY ROBERT LANDSCAPE,Single,Cumberland,Install an enclosure for an inground pool (rear yard),0,0,0,2200028,Pool Enclosure,2022-01-05 10:08
68,WAYLING AVE ,K1L6A4,Ward 12,4M-,,DELTA DESIGNS,Single,Vanier,"Finish the basement in a 2 storey detached dwelling (rec room, 3-piece bathroom, and mechanical room)",0,35811.4,1240,2200029,Construction,2022-01-05 10:12
513,HARROWSMITH WAY ,K4A2Z4,Ward 19,50M-162,22,IMPRESSIONS GROUP OTTAWA,Single,Cumberland,Install an enclosure for an inground pool (rear yard),0,0,0,2200030,Pool Enclosure,2022-01-05 10:31
3802,GREENBANK RD ,K2J6C4,Ward 3,,8,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fitup in a 1 storey retail building (Dental Office - Unit 1 & 2),0,89116.45,1917.72,2200031,Construction,2022-01-05 10:37
6401,GLEN KNOLLS DR ,K1C2W9,Ward 1,4M-325,53,URBAN GREEN CONTRACTING,Single,Gloucester,Construct a secondary dwelling unit in the basement & alterations in a 2 storey detached dwelling,1,100000,915,2200032,Construction,2022-01-05 10:41
279,GRACEWOOD CRES ,K1T0J1,Ward 22,4M-1454,1,FLORAL DESIGN LANDSCAPING,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0,0,0,2200033,Pool Enclosure,2022-01-05 10:58
184,MARLBOROUGH AVE ,K1N8G4,Ward 12,183999,69,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a detached garage (rear yard),0,7000,-300,2200035,Demolition,2022-01-05 11:09
2115,BLUE WILLOW CRES ,K1W1K3,Ward 2,4M-1133,61,CLELAND JARDINE ENGINEERING,Single,Gloucester,Interior alterations to a 2 storey detached dwelling (Relocation of steel post),0,6000,100,2200036,Construction,2022-01-05 11:21
440,OAKHILL RD ,K1M1J6,Ward 13,M-30,61-62,AMSTED DESIGN BUILD,Single,Rockcliffe Park,"Interior alterations to a 1 storey detached dwelling (relocate laundry, mudroon & ensuite renovation)",0,5000,156.08,2200037,Construction,2022-01-05 11:35
6417,GLEN KNOLLS DR ,K1C2W9,Ward 1,4M-235,57,CONTRACTOR UNKNOWN,Single,Gloucester,Interior alterations on the 1st floor of a 2 storey detached dwelling,0,52449,410,2200038,Construction,2022-01-05 11:37
9,AURIGA DR ,K2E7T9,Ward 9,4M,27,CONTRACTOR UNKNOWN,Office,Nepean,Tenant fit-up to a 2 storey office building,0,1000000,14874.64,2200039,Construction,2022-01-05 11:53
1677,LAKESHORE DR ,K4P1H1,Ward 20,4M-500,28,CONTRACTOR UNKNOWN,Single,Osgoode,Construct a 1 storey detached dwelling,1,464489.13,2499,2200040,Construction,2022-01-05 12:05
3501,CAMPEAU DR ,K2K0C1,Ward 4,4M-,,CONTRACTOR UNKNOWN,Apartment,Kanata,Interior alterations to 5 storey complex (Suite 423-bathroom renovation),0,5000,85,2200041,Construction,2022-01-05 12:08
54,LEES AVE ,K1S0B9,Ward 17,28,7,MERMAID POOLS (MERIVALE),Semi - Detached,Old Ottawa,Install an enclosure for a semi inground pool,0,0,0,2200042,Pool Enclosure,2022-01-05 12:11
133,"MINOTERIE, COTE DE LA  ",K4A0Y5,Ward 19,4M-1539,91,HICKORY DICKORY DECKS - ORLEANS,Single,Cumberland,Construct a deck (rear yard),0,7900,108,2200043,Construction,2022-01-05 14:04
1420,EL PASEO CRT ,K4P0C4,Ward 20,4M-1496,3,CONTRACTOR UNKNOWN,Single,Osgoode,Finish the basement in a 1 storey detached dwelling,0,110040.96,2368,2200045,Construction,2022-01-05 15:56
121  -37,BUELL ST ,K1Z7E7,Ward 15,CCP 61,,SKILBILT CONSTRUCTION INC,Rowhouse,Old Ottawa,Interior alterations in a 2 storey rowhouse (Unit 37 - opening kitchen wall & new basement bathroom),0,6113.49,82,2200046,Construction,2022-01-05 16:02
533,BRUNEL ST ,K1K2G5,Ward 13,4M-,13,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Interior alterations to a 2 storey semi-detached dwelling (remove load bearing wall on 1st floor),0,10000,100,2200047,Construction,2022-01-05 16:15
186,BOTELER ST ,K1N5A7,Ward 12,4M-,5&6,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Interior alterations in a 3 storey rowhouse,0,8000,0,2200048,Construction,2022-01-05 16:22
139,BARONESS DR ,K2G6Z2,Ward 22,4M-1190,18,BUILDABLE ACCESSIBLE DESIGN AND RENOVATIONS,Single,Nepean,Interior alterations in the basement of a 2 storey detached dwelling,0,10000,79,2200050,Construction,2022-01-06 8:49
1465,CALDWELL AVE ,K1Z5L6,Ward 16,4M-,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Exterior alterations to a 14 storey apartment building,0,4300000,63507.07,2200051,Construction,2022-01-06 9:05
15,FRANKLIN CATHCART CRES ,K2S2A7,Ward 6,4M-1107,126,CONTRACTOR UNKNOWN,Single,Goulbourn,Interior alterations to a 1 storey detached dwelling,0,40000,312.15,2200052,Construction,2022-01-06 9:12
1331,CLYDE AVE ,K2C3G1,Ward 16,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Interior alterations on the 4th & 5th floor of a 5 storey office building (Suite 400 & 500, Versaterm Public Safety Inc.)",0,312000,24032,2200053,Construction,2022-01-06 9:33
11,MENDOZA WAY ,K2S2S6,Ward 23,4M-,38,CLARIDGE HOMES (BRIDLEWOOD TRAILS) LIMITED PARTNERSHIP,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Murray 2018 B,1,388117,2321,2200054,Construction,2022-01-06 9:58
29,MENDOZA WAY ,K2S2S6,Ward 23,4M-,29,CLARIDGE HOMES (BRIDLEWOOD TRAILS PHASE 3) INC.,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Murray 2018 D,1,388117,2321,2200055,Construction,2022-01-06 10:15
2383,BRIAR HILL DR ,K1H7A7,Ward 18,822,13,CONTRACTOR UNKNOWN,Single,Old Ottawa,Install an enclosure for an inground pool (rear yard),0,0,0,2200057,Pool Enclosure,2022-01-06 10:37
610,GABRIOLA WAY ,K2T0M2,Ward 4,4M-1556,175,OAKWOOD DESIGNERS & BUILDERS INC,Single,Kanata,Finish the basement in a 2 storey detached dwelling,0,52511.1,1130,2200059,Construction,2022-01-06 10:58
1209,ALGOMA RD ,K1B5B9,Ward 11,4M-,LOT 25,CONTRACTOR UNKNOWN,Other,Gloucester,Tenant Fit up to a 1 storey storage building (Iron Mountain),0,17000,704,2200060,Construction,2022-01-06 11:17
19,MENDOZA WAY ,K2S2S6,Ward 23,4M-,34,CLARIDGE HOMES (BRIDLEWOOD TRAILS PHASE 3) INC.,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Porter 2018 D,1,386947,2314,2200061,Construction,2022-01-06 11:36
100,BAYSHORE DR ,K2B8C1,Ward 7,465465,17,PCL CONSTRUCTORS CANADA INC.,Retail,Nepean,Install 1 electromagnetic lock on the 2nd level of a 3 storey retail building,0,10391.94,107.63,2200062,Construction,2022-01-06 11:49
143,ACACIA AVE ,K1M0R4,Ward 13,251,PT LOT 28,IMPRESSIONS GROUP OTTAWA,Single,Rockcliffe Park,Install an enclosure for an in ground pool (rear yard),0,0,0,2200063,Pool Enclosure,2022-01-06 11:51
1824,ARIZONA AVE ,K1H6Z6,Ward 18,763,97,IMPRESSIONS GROUP OTTAWA,Single,Old Ottawa,Install an enclosure for an in ground pool (rear yard),0,0,0,2200064,Pool Enclosure,2022-01-06 12:01
800,GREEN CREEK DR ,K1J1A6,Ward 11,4M-,14-15,CONTRACTOR UNKNOWN,Institutional,Gloucester,"Construct a 1 storey industrial building (Raw Sewage Pumping Station Electrical Building, ROPEC)",0,453774.88,4069,2200065,Construction,2022-01-06 12:02
304 A ,IONA ST ,K1Z7B9,Ward 15,364,38,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,763836.54,5242,2200066,Construction,2022-01-06 12:09
304 B ,IONA ST ,K1Z7B9,Ward 15,364,38,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,763836.54,5242,2200066,Construction,2022-01-06 12:09
304,IONA ST ,K1Z7B9,Ward 15,364,38,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1,5000,-1507,2200067,Demolition,2022-01-06 12:12
88,BEAVER RIDGE ,K2E6E4,Ward 9,429066,163,IMPRESSIONS GROUP OTTAWA,Single,Nepean,Install an enclosure for an inground pool (rear yard),0,0,0,2200068,Pool Enclosure,2022-01-06 12:12
836,PERCIVAL CRES ,K4M0G3,Ward 21,4m1546,2,FLORAL DESIGN LANDSCAPING,Single,Rideau,Install an inground pool (rear yard),0,0,0,2200069,Pool Enclosure,2022-01-06 13:32
505,CATLEAF ROW ,K4A5J2,Ward 19,4M-1668,,***CONTRACTOR***,Rowhouse,Cumberland,Finish the basement in a 2 storey rowhouse,0,12380.07,266.41,2200070,Construction,2022-01-06 13:45
2270,"ST-LAURENT, BOUL  ",K1G4K1,Ward 10,,1,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the second storey of an existing 2 storey office building (Base building),0,125000,8757.51,2200071,Construction,2022-01-06 14:41
1000,CHAMPLAIN ST ,,Ward 1,4M-,,CONTRACTOR UNKNOWN,Industrial,Gloucester,PARTIAL PERMIT: Construct a 2 storey rapid transit station OLRT Place d'Orleans station (South station - fndn and full),0,0,27692.64,2200072,Construction,2022-01-06 14:45
1057,HYDRANGEA AVE ,K4M0L5,Ward 22,4M-1672,24,CONTRACTOR UNKNOWN,Single,Gloucester,Construct a secondary dwelling unit in the basement of a 2 storey detached dwelling,1,34605,745,2200073,Construction,2022-01-06 14:59
2162,PRINCE OF WALES DR ,K2E0A1,Ward 9,4M-,26,CONTRACTOR UNKNOWN,Retail,Nepean,Interior Alterations to create an additional suite (Tweed) in a 1 storey retail building (Circle K),0,75000,3187.73,2200074,Construction,2022-01-06 15:04
434,HINTON AVE S,K1Y1B3,Ward 15,157,1662,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations in a 2 storey detached dwelling,0,15000,796,2200075,Construction,2022-01-06 16:01
148,MCGILLIVRAY ST ,K1S1K6,Ward 17,102,4,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations on the main floor of a 2 storey detached dwelling,0,0,0,2200076,Construction,2022-01-06 16:16
100,BAYSHORE DR ,K2B8C1,Ward 7,4M-,17,SPORT CHEK,Retail,Nepean,"Tenant fit up in 3 storey retail building (Bayshore Shopping Centre, Sport Chek, Unit EE20)",0,1610000,2939,2200077,Construction,2022-01-07 8:43
655  -25,RICHMOND RD ,K2A3Y3,Ward 15,4M-,,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Remove loadbearing walls in a 3 storey rowhouse,0,20000,162,2200078,Construction,2022-01-07 8:46
533,SONMARG CRES ,K2J6M8,Ward 21,,,TAMARACK HOMES,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T7 2020 A,T1 2020 A,T1 2020 A,T6 2020 A,T6 2020 A",5,1093282,8406,2200079,Construction,2022-01-07 8:49
535,SONMARG CRES ,K2J6M8,Ward 21,,,TAMARACK HOMES,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T7 2020 A,T1 2020 A,T1 2020 A,T6 2020 A,T6 2020 A",5,1093282,8406,2200079,Construction,2022-01-07 8:49
537,SONMARG CRES ,K2J6M8,Ward 21,,,TAMARACK HOMES,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T7 2020 A,T1 2020 A,T1 2020 A,T6 2020 A,T6 2020 A",5,1093282,8406,2200079,Construction,2022-01-07 8:49
539,SONMARG CRES ,K2J6M8,Ward 21,,,TAMARACK HOMES,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T7 2020 A,T1 2020 A,T1 2020 A,T6 2020 A,T6 2020 A",5,1093282,8406,2200079,Construction,2022-01-07 8:49
541,SONMARG CRES ,K2J6M8,Ward 21,,,TAMARACK HOMES,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T7 2020 A,T1 2020 A,T1 2020 A,T6 2020 A,T6 2020 A",5,1093282,8406,2200079,Construction,2022-01-07 8:49
540,SONMARG CRES ,,Ward 21,,,TAMARACK HOMES,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T6 2020 A,T9 2020 A,T1 2020 A,T7 2020 A",4,891950,6858,2200080,Construction,2022-01-07 9:03
542,SONMARG CRES ,,Ward 21,,,TAMARACK HOMES,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T6 2020 A,T9 2020 A,T1 2020 A,T7 2020 A",4,891950,6858,2200080,Construction,2022-01-07 9:03
544,SONMARG CRES ,,Ward 21,,,TAMARACK HOMES,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T6 2020 A,T9 2020 A,T1 2020 A,T7 2020 A",4,891950,6858,2200080,Construction,2022-01-07 9:03
546,SONMARG CRES ,,Ward 21,,,TAMARACK HOMES,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T6 2020 A,T9 2020 A,T1 2020 A,T7 2020 A",4,891950,6858,2200080,Construction,2022-01-07 9:03
2070,SUNLAND DR ,K4A3L1,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 7 townhomes (due to sinking),-7,48000,-14000,2200081,Demolition,2022-01-07 9:19
2072,SUNLAND DR ,K4A3L1,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 7 townhomes (due to sinking),-7,48000,-14000,2200081,Demolition,2022-01-07 9:19
2074,SUNLAND DR ,K4A3L1,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 7 townhomes (due to sinking),-7,48000,-14000,2200081,Demolition,2022-01-07 9:19
2076,SUNLAND DR ,K4A3L1,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 7 townhomes (due to sinking),-7,48000,-14000,2200081,Demolition,2022-01-07 9:19
2078,SUNLAND DR ,K4A3L1,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 7 townhomes (due to sinking),-7,48000,-14000,2200081,Demolition,2022-01-07 9:19
2080,SUNLAND DR ,K4A3L1,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 7 townhomes (due to sinking),-7,48000,-14000,2200081,Demolition,2022-01-07 9:19
2082,SUNLAND DR ,K4A3L1,Ward 19,50M-209,,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a block of 7 townhomes (due to sinking),-7,48000,-14000,2200081,Demolition,2022-01-07 9:19
1971,ORCHARDVIEW AVE ,K4A3H2,Ward 19,50M-201,222,AMOR CONSTRUCTION (176026 CANADA INC.),Demolition,Cumberland,Demolish a 2 storey detached dwelling (due to sinking),-1,48000,-2000,2200082,Demolition,2022-01-07 9:20
41,PRITCHARD DR ,K2G1B2,Ward 9,378656,321,OGC LTD.,Coach House,Nepean,Construct a 1 storey coach house (rear yard),1,235945.9,1140,2200083,Construction,2022-01-07 9:38
363,RIDEAU ST ,K1N5Y6,Ward 12,43586,PT LOTS 13 to 15,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Repairs to a parking garage of a 1 storey retail building,0,980000,116250.23,2200084,Construction,2022-01-07 9:48
1396,NORMANDY CRES ,K2C0N5,Ward 16,4M-,26,BAREFOOT HOME,Single,Old Ottawa,Interior alterations to remove loadbearing and non-loadbearing walls on the 1st floor of a 2 storey detached dwelling,0,11000,650,2200085,Construction,2022-01-07 10:26
424,PARKDALE AVE ,K1Y1H1,Ward 15,4M-,832,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 1st and 2nd floors of a 2 storey office building (Better Business Bureau),0,250000,4800,2200086,Construction,2022-01-07 10:35
1234 B ,RIDEOUT CRES ,K2C2X7,Ward 8,4M-,,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit in the basement of a 1 storey detached dwelling (3-bedroom),1,40000,1184.03,2200087,Construction,2022-01-07 10:35
1234,RIDEOUT CRES ,K2C2X7,Ward 8,4M-,,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit in the basement of a 1 storey detached dwelling (3-bedroom),1,40000,1184.03,2200087,Construction,2022-01-07 10:35
1156,WELLINGTON ST W,K1Y4H4,Ward 15,4M-,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Interior alterations on floors 1, 2 and 3 of a 3 storey institutional building",0,115500,1000,2200088,Construction,2022-01-07 11:07
